Maidstone Upper Stone Street
01/01/2020 - 26/04/2020
Summary Table: 

Type,NO  - µg/m³,NO2  - µg/m³,NOx  - µg/m³ as NO2,PM25  - µg/m³,PM10 grav  - µg/m³,
minimum,7.0,8.0,18.0,9.0,10.0,
mindate,29/03/2020,29/03/2020,29/03/2020,20/02/2020,20/02/2020,
mintime,24:00,24:00,24:00,24:00,24:00,
maximum,276.0,149.0,511.0,55.0,51.0,
maxdate,21/01/2020,01/01/2020,21/01/2020,09/04/2020,08/04/2020,
maxtime,24:00,24:00,24:00,24:00,24:00,
avg,78.0,52.0,172.0,19.0,22.0,
num,115.0,115.0,115.0,112.0,110.0,
dataprecent,99.1,99.1,99.1,96.6,94.8,
std,52.1,24.0,99.3,9.7,8.3,

Data: 

datetime,NO  - µg/m³,NO2  - µg/m³,NOx  - µg/m³ as NO2,PM25  - µg/m³,PM10 grav  - µg/m³,
 01/01/2020 24:00,137.0,149.0,359.0,45.0,38.0,
 02/01/2020 24:00,104.0,71.0,231.0,15.0,16.0,
 03/01/2020 24:00,98.0,65.0,215.0,13.0,18.0,
 04/01/2020 24:00,95.0,63.0,209.0,13.0,19.0,
 05/01/2020 24:00,70.0,49.0,156.0,15.0,17.0,
 06/01/2020 24:00,160.0,69.0,314.0,15.0,21.0,
 07/01/2020 24:00,139.0,67.0,280.0,15.0,19.0,
 08/01/2020 24:00,108.0,54.0,219.0,18.0,28.0,
 09/01/2020 24:00,82.0,48.0,174.0,13.0,17.0,
 10/01/2020 24:00,110.0,68.0,244.0,17.0,23.0,
 11/01/2020 24:00,49.0,33.0,108.0,12.0,21.0,
 12/01/2020 24:00,43.0,29.0,96.0,11.0,12.0,
 13/01/2020 24:00,97.0,55.0,203.0,11.0,17.0,
 14/01/2020 24:00,67.0,40.0,142.0,12.0,18.0,
 15/01/2020 24:00,117.0,61.0,240.0,16.0,17.0,
 16/01/2020 24:00,78.0,63.0,187.0,15.0,22.0,
 17/01/2020 24:00,100.0,58.0,212.0,15.0,16.0,
 18/01/2020 24:00,171.0,78.0,340.0,23.0,27.0,
 19/01/2020 24:00,94.0,62.0,207.0,18.0,23.0,
 20/01/2020 24:00,255.0,88.0,480.0,35.0,----,
 21/01/2020 24:00,276.0,88.0,511.0,42.0,37.0,
 22/01/2020 24:00,227.0,82.0,430.0,36.0,33.0,
 23/01/2020 24:00,191.0,81.0,382.0,27.0,25.0,
 24/01/2020 24:00,158.0,71.0,321.0,28.0,24.0,
 25/01/2020 24:00,102.0,50.0,207.0,33.0,29.0,
 26/01/2020 24:00,61.0,39.0,132.0,19.0,24.0,
 27/01/2020 24:00,116.0,78.0,256.0,12.0,14.0,
 28/01/2020 24:00,76.0,108.0,225.0,11.0,15.0,
 29/01/2020 24:00,88.0,103.0,240.0,13.0,26.0,
 30/01/2020 24:00,97.0,65.0,214.0,12.0,15.0,
 31/01/2020 24:00,78.0,50.0,169.0,10.0,11.0,
